Département,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total 2018
09,269882,338391,331137,278171,278368,336429,821574,906093,361344,280623,180846,292618,4675476
11,569482,614493,842966,1122210,1187157,1475630,2844447,3298896,1605261,1105609,688284,796268,16150703
12,267377,287908,399505,536368,611796,670233,1425812,1626401,660805,591982,384565,481969,7944721
30,826584,796344,1042642,1613490,1596197,1884880,3445817,3783614,2057089,1727954,1288425,1317485,21380521
31,1879292,1793526,2182628,2049197,1997227,2406790,3097510,3000117,2757576,2759185,2185247,2504444,28612739
32,240222,217843,316094,388887,452215,501523,1074089,997329,460004,418717,282701,346918,5696542
34,1738164,1794954,2362276,3711060,3795738,4485559,8248762,9853709,5071212,3580258,2622436,2501682,49765810
46,249860,266617,356083,555220,625133,680211,1494640,1742175,656854,506801,329969,416018,7879581
48,103748,105157,148027,251394,297213,325681,649142,744833,311928,267255,149327,165561,3519266
65,547236,839219,778276,630619,790507,936668,1599304,1865857,1096174,851435,336840,690835,10962970
66,1255027,1469580,1601921,1910365,2066847,2712222,5930666,7079742,3113641,1845714,1198096,1614626,31798447
81,321100,322724,385761,451923,479209,554189,932292,1050861,511809,481205,362583,483803,6337459
82,293754,276161,377376,421746,458219,560141,908828,870073,551129,500257,389716,422270,6029670
